Id,Concessionaria,AnoDoPnvSnv,TipoDeRadar,Rodovia,Uf,Km_m,Municipio,TipoPista,Sentido,Situacao,DataDaInativacao,Latitude,Longitude,VelocidadeLeve
1,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"483,700",Betim,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-19,959486","-44,085386",80
2,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"493,290",Betim,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-19,964349","-44,171924",80
3,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"525,350",Brumadinho,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-20,146664","-44,323897",80
4,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"528,350",Brumadinho,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-20,167194","-44,334434",80
5,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"568,890",Itaguara,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-20,410679","-44,526628",80
6,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"618,360",Oliveira,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-20,740356","-44,771520",80
7,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"643,224",Santo Antônio do Amparo,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-20,921689","-44,871470",80
8,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"653,740",Santo Antônio do Amparo,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-20,921689","-44,871470",80
9,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"712,760",Carmo da Cachoeira,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-21,372782","-45,190037",80
10,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"886,250",Estiva,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-22,510753","-46,018149",80
11,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"907,720",Cambuí,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-22,676048","-46,098030",80
12,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"920,800",Camanducaia,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-22,760561","-46,167674",80
13,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,MG,"923,380",Camanducaia,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-22,774380","-46,185834",80
14,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"59,795",Mairiporã,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-23,289138","-46,587920",80
15,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"70,200",Mairiporã,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-23,349188","-46,556532",80
16,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"73,060",São Paulo,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-23,368741","-46,554044",80
17,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"75,650",São Paulo,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-23,384708","-46,564716",80
18,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"76,400",São Paulo,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-23,387687","-46,569328",80
19,AUTOPISTA FERNÃO DIAS,2007,Controlador,BR-381,SP,"78,200",São Paulo,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-23,401335","-46,575964",80
20,AUTOPISTA FLUMINENSE,2019,Controlador,BR-101,RJ,"58,805",Campos dos Goytacazes,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-21,713412","-41,308561",60
21,AUTOPISTA FLUMINENSE,2019,Controlador,BR-101,RJ,"55,389",Campos dos Goytacazes,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-21,681822","-41,310949",60
22,AUTOPISTA FLUMINENSE,2019,Controlador,BR-101,RJ,"55,520",Campos dos Goytacazes,Principal,Decrescente,Ativo,01/01/1900 00:00:00,"-21,683290","-41,310890",60
23,AUTOPISTA FLUMINENSE,2019,Controlador,BR-101,RJ,"184,600",Casimiro de Abreu,Principal,Crescente,Ativo,01/01/1900 00:00:00,"-22,429729","-42,031134",80
